18:39:54. main() Recv histograms
18:39:54. recv_histograms() Reading histograms 3 count
18:39:54. recv_histograms() Reading histogram #0
18:39:54. recv_histograms() r packet_data_t bytes=24
18:39:54. recv_histograms() readed packet: type=0, size=12000, src_nodeid=2
18:39:54. recv_histograms() r histogram->array bytes=12000
18:39:54. recv_histograms() Reading histogram #1
18:39:55. recv_histograms() r packet_data_t bytes=24
18:39:55. recv_histograms() readed packet: type=0, size=12000, src_nodeid=4
18:39:55. recv_histograms() r histogram->array bytes=12000
18:39:55. recv_histograms() Reading histogram #2
18:39:55. recv_histograms() r packet_data_t bytes=24
18:39:55. recv_histograms() readed packet: type=0, size=12000, src_nodeid=3
18:39:55. recv_histograms() r histogram->array bytes=12000
18:39:55. recv_histograms() Hitograms ok
18:39:55. main() Recv histograms OK
18:39:55. print_histogram() [664867714]=[309000, 309999), 
18:39:55. print_histogram() [667099839]=[310000, 310999), 
18:39:55. print_histogram() [669270056]=[311000, 311999), 
18:39:55. print_histogram() [671412560]=[312000, 312999), 
18:39:55. print_histogram() [673524659]=[313000, 313999), 
18:39:55. print_histogram() [675658533]=[314000, 314999), 
18:39:55. print_histogram() [677793655]=[315000, 315999), 
18:39:55. print_histogram() [680105459]=[316000, 316999), 
18:39:55. print_histogram() [682134334]=[317000, 317999), 
18:39:55. print_histogram() [684189852]=[318000, 318999), 
18:39:55. print_histogram() [686244392]=[319000, 319999), 
18:39:55. print_histogram() [688441663]=[320000, 320999), 
18:39:55. print_histogram() [690661291]=[321000, 321999), 
18:39:55. print_histogram() [692806121]=[322000, 322999), 
18:39:55. print_histogram() [694927060]=[323000, 323999), 
18:39:55. print_histogram() [697066051]=[324000, 324999), 
18:39:55. print_histogram() [699243919]=[325000, 325999), 
18:39:55. print_histogram() [701426820]=[326000, 326999), 
18:39:55. print_histogram() [703635763]=[327000, 327999), 
18:39:55. print_histogram() [705834069]=[328000, 328999), 
18:39:55. print_histogram() [708063631]=[329000, 329999), 
18:39:55. print_histogram() [710321986]=[330000, 330999), 
18:39:55. print_histogram() [712282971]=[331000, 331999), 
18:39:55. print_histogram() [714391309]=[332000, 332999), 
18:39:55. print_histogram() [716546324]=[333000, 333999), 
18:39:55. print_histogram() [718783773]=[334000, 334999), 
18:39:55. print_histogram() [720917832]=[335000, 335999), 
18:39:55. print_histogram() [723114783]=[336000, 336999), 
18:39:55. print_histogram() [725299788]=[337000, 337999), 
18:39:55. print_histogram() [727517855]=[338000, 338999), 
18:39:55. print_histogram() [729623487]=[339000, 339999), 
18:39:55. print_histogram() [731700566]=[340000, 340999), 
18:39:55. print_histogram() [733760476]=[341000, 341999), 
18:39:55. print_histogram() [735880171]=[342000, 342999), 
18:39:55. print_histogram() [738116906]=[343000, 343999), 
18:39:55. print_histogram() [740217950]=[344000, 344999), 
18:39:55. print_histogram() [742238181]=[345000, 345999), 
18:39:55. print_histogram() [744368781]=[346000, 346999), 
18:39:55. print_histogram() [746433810]=[347000, 347999), 
18:39:55. print_histogram() [748592193]=[348000, 348999), 
18:39:55. print_histogram() [750732531]=[349000, 349999), 
18:39:55. print_histogram() [752897771]=[350000, 350999), 
18:39:55. print_histogram() [755051880]=[351000, 351999), 
18:39:55. print_histogram() [757238633]=[352000, 352999), 
18:39:55. print_histogram() [759339887]=[353000, 353999), 
18:39:55. print_histogram() [761507505]=[354000, 354999), 
18:39:55. print_histogram() [763581378]=[355000, 355999), 
18:39:55. print_histogram() [765816847]=[356000, 356999), 
18:39:55. print_histogram() [767903117]=[357000, 357999), 
18:39:55. print_histogram() [770058193]=[358000, 358999), 
18:39:55. print_histogram() [772211161]=[359000, 359999), 
18:39:55. print_histogram() [774340212]=[360000, 360999), 
18:39:55. print_histogram() [776524025]=[361000, 361999), 
18:39:55. print_histogram() [778582911]=[362000, 362999), 
18:39:55. print_histogram() [780583750]=[363000, 363999), 
18:39:55. print_histogram() [782883787]=[364000, 364999), 
18:39:55. print_histogram() [784989546]=[365000, 365999), 
18:39:55. print_histogram() [787043126]=[366000, 366999), 
18:39:55. print_histogram() [789229240]=[367000, 367999), 
18:39:55. print_histogram() [791521647]=[368000, 368999), 
18:39:55. print_histogram() [793713832]=[369000, 369999), 
18:39:55. print_histogram() [795707526]=[370000, 370999), 
18:39:55. print_histogram() [797900012]=[371000, 371999), 
18:39:55. print_histogram() [800073660]=[372000, 372999), 
18:39:55. print_histogram() [802223789]=[373000, 373999), 
18:39:55. print_histogram() [804379002]=[374000, 374999), 
18:39:55. print_histogram() [806421371]=[375000, 375999), 
18:39:55. print_histogram() [808728183]=[376000, 376999), 
18:39:55. print_histogram() [810845013]=[377000, 377999), 
18:39:55. print_histogram() [812928774]=[378000, 378999), 
18:39:55. print_histogram() [815002660]=[379000, 379999), 
18:39:55. print_histogram() [817065166]=[380000, 380999), 
18:39:55. print_histogram() [819193707]=[381000, 381999), 
18:39:55. print_histogram() [821358748]=[382000, 382999), 
18:39:55. print_histogram() [823523725]=[383000, 383999), 
18:39:55. print_histogram() [825658935]=[384000, 384999), 
18:39:55. print_histogram() [827738904]=[385000, 385999), 
18:39:55. print_histogram() [829861746]=[386000, 386999), 
18:39:55. print_histogram() [831872301]=[387000, 387999), 
18:39:55. print_histogram() [834098158]=[388000, 388999), 
18:39:55. print_histogram() [836264751]=[389000, 389999), 
18:39:55. print_histogram() [838439246]=[390000, 390999), 
18:39:55. print_histogram() [840608717]=[391000, 391999), 
18:39:55. print_histogram() [842738826]=[392000, 392999), 
18:39:55. print_histogram() [845063042]=[393000, 393999), 
18:39:55. print_histogram() [847233872]=[394000, 394999), 
18:39:55. print_histogram() [849469611]=[395000, 395999), 
18:39:55. print_histogram() [851600046]=[396000, 396999), 
18:39:55. print_histogram() [853755723]=[397000, 397999), 
18:39:55. print_histogram() [855924162]=[398000, 398999), 
18:39:55. print_histogram() [858052918]=[399000, 399999), 
18:39:55. print_histogram() [860201188]=[400000, 400999), 
18:39:55. print_histogram() [862361373]=[401000, 401999), 
18:39:55. print_histogram() [864503708]=[402000, 402999), 
18:39:55. print_histogram() [866591255]=[403000, 403999), 
18:39:55. print_histogram() [868758816]=[404000, 404999), 
18:39:55. print_histogram() [870823265]=[405000, 405999), 
18:39:55. print_histogram() [872983365]=[406000, 406999), 
18:39:55. print_histogram() [875159827]=[407000, 407999), 
18:39:55. print_histogram() [877301719]=[408000, 408999), 
18:39:55. print_histogram() [879549920]=[409000, 409999), 
18:39:55. print_histogram() [881449678]=[410000, 410999), 
18:39:55. print_histogram() [883586380]=[411000, 411999), 
18:39:55. print_histogram() [885812912]=[412000, 412999), 
18:39:55. print_histogram() [887955745]=[413000, 413999), 
18:39:55. print_histogram() [890112852]=[414000, 414999), 
18:39:55. print_histogram() [892197166]=[415000, 415999), 
18:39:55. print_histogram() [894446597]=[416000, 416999), 
18:39:55. print_histogram() [896530870]=[417000, 417999), 
18:39:55. print_histogram() [898589935]=[418000, 418999), 
18:39:55. print_histogram() [900681181]=[419000, 419999), 
18:39:55. print_histogram() [902907369]=[420000, 420999), 
18:39:55. print_histogram() [905105024]=[421000, 421999), 
18:39:55. print_histogram() [907234022]=[422000, 422999), 
18:39:55. print_histogram() [909379509]=[423000, 423999), 
18:39:55. print_histogram() [911558267]=[424000, 424999), 
18:39:55. print_histogram() [913781701]=[425000, 425999), 
18:39:55. print_histogram() [915913438]=[426000, 426999), 
18:39:55. print_histogram() [918124880]=[427000, 427999), 
18:39:55. print_histogram() [920233062]=[428000, 428999), 
18:39:55. print_histogram() [922349364]=[429000, 429999), 
18:39:55. print_histogram() [924512927]=[430000, 430999), 
18:39:55. print_histogram() [926571351]=[431000, 431999), 
18:39:55. print_histogram() [928763347]=[432000, 432999), 
18:39:55. print_histogram() [931074448]=[433000, 433999), 
18:39:55. print_histogram() [933074420]=[434000, 434999), 
18:39:55. print_histogram() [935240081]=[435000, 435999), 
18:39:55. print_histogram() [937397976]=[436000, 436999), 
18:39:55. print_histogram() [939461261]=[437000, 437999), 
18:39:55. print_histogram() [941631436]=[438000, 438999), 
18:39:55. print_histogram() [943767625]=[439000, 439999), 
18:39:55. print_histogram() [946010025]=[440000, 440999), 
18:39:55. print_histogram() [948097993]=[441000, 441999), 
18:39:55. print_histogram() [950390703]=[442000, 442999), 
18:39:55. print_histogram() [952492858]=[443000, 443999), 
18:39:55. print_histogram() [954649309]=[444000, 444999), 
18:39:55. print_histogram() [956840872]=[445000, 445999), 
18:39:55. print_histogram() [958875747]=[446000, 446999), 
18:39:55. print_histogram() [960991177]=[447000, 447999), 
18:39:55. print_histogram() [963048565]=[448000, 448999), 
18:39:55. print_histogram() [965321621]=[449000, 449999), 
18:39:55. print_histogram() [967387377]=[450000, 450999), 
18:39:55. print_histogram() [969514959]=[451000, 451999), 
18:39:55. print_histogram() [971656935]=[452000, 452999), 
18:39:55. print_histogram() [973766469]=[453000, 453999), 
18:39:55. print_histogram() [975853455]=[454000, 454999), 
18:39:55. print_histogram() [977983726]=[455000, 455999), 
